video_id;author;views;hearts;comments;shares;post_url;upload_date
@creatingwithlucy_6918054067730255110;creatingwithlucy;4.7;0.4;1.1;7.1;https://tiktok.com/@creatingwithlucy/video/6918054067730255110;16-01-2021T01:23:18
@avaihawkins_6937122188256349445;avaihawkins;2.8;0.4;1.5;13.0;https://tiktok.com/@avaihawkins/video/6937122188256349445;08-03-2021T10:37:10
@ileenreinoso_6924106589112683781;ileenreinoso;3.2;0.4;2.0;9.0;https://tiktok.com/@ileenreinoso/video/6924106589112683781;01-02-2021T08:50:08
@giftuniverse_6932875470824328454;giftuniverse;4.7;0.3;1.9;1.8;https://tiktok.com/@giftuniverse/video/6932875470824328454;24-02-2021T23:57:48
@little.touches.by.haneen_6913971004171898118;little.touches.by.haneen;4.3;0.3;1.5;11.2;https://tiktok.com/@little.touches.by.haneen/video/6913971004171898118;05-01-2021T01:18:54
@creatingwithlucy_6928079864981392646;creatingwithlucy;2.5;0.3;2.0;8.6;https://tiktok.com/@creatingwithlucy/video/6928079864981392646;12-02-2021T01:48:24
@kcisfunny_6958519487356275974;kcisfunny;1.2;0.3;0.7;0.5;https://tiktok.com/@kcisfunny/video/6958519487356275974;05-05-2021T02:29:34
@rachel_meaders_6928198605392104710;rachel_meaders;2.9;0.3;1.1;16.7;https://tiktok.com/@rachel_meaders/video/6928198605392104710;12-02-2021T09:29:18
@creatingwithlucy_6931036782456868101;creatingwithlucy;2.7;0.3;1.2;5.1;https://tiktok.com/@creatingwithlucy/video/6931036782456868101;20-02-2021T01:02:45
@rachel_meaders_6930424852834749702;rachel_meaders;2.3;0.3;1.2;8.9;https://tiktok.com/@rachel_meaders/video/6930424852834749702;18-02-2021T09:28:15
@kortneyandkarlee_6954102008911547653;kortneyandkarlee;2.6;0.3;3.4;6.3;https://tiktok.com/@kortneyandkarlee/video/6954102008911547653;23-04-2021T04:47:30
@kelseyvenkov_6937019316630015238;kelseyvenkov;1.9;0.3;0.5;6.2;https://tiktok.com/@kelseyvenkov/video/6937019316630015238;08-03-2021T03:57:55
@aaaliyaha52_6970375899380337926;aaaliyaha52;2.3;0.3;0.6;18.3;https://tiktok.com/@aaaliyaha52/video/6970375899380337926;06-06-2021T01:18:30
@myfavebuys_6951433072499870981;myfavebuys;3.2;0.2;0.8;14.0;https://tiktok.com/@myfavebuys/video/6951433072499870981;16-04-2021T00:10:40
@hayleylombard__6932496422789025029;hayleylombard_;2.6;0.2;0.8;3.8;https://tiktok.com/@hayleylombard_/video/6932496422789025029;23-02-2021T23:26:57
@kelseyvenkov_6935184996105850117;kelseyvenkov;1.3;0.2;1.4;9.8;https://tiktok.com/@kelseyvenkov/video/6935184996105850117;03-03-2021T05:19:59
@hcolept_6966558271587028230;hcolept;1.3;0.2;0.5;3.0;https://tiktok.com/@hcolept/video/6966558271587028230;26-05-2021T18:24:14
@aaliyaha055_6961793460181404933;aaliyaha055;1.5;0.2;0.3;6.2;https://tiktok.com/@aaliyaha055/video/6961793460181404933;13-05-2021T22:14:15
@tashaclegg_6949242753331039494;tashaclegg;1.8;0.2;0.9;4.2;https://tiktok.com/@tashaclegg/video/6949242753331039494;10-04-2021T02:31:06
@charlidamelio_6898411858131209478;charlidamelio;63.4;8.5;111.8;34.8;https://tiktok.com/@charlidamelio/video/6898411858131209478;24-11-2020T03:01:46
@toponlinefinds_6834331690282831110;toponlinefinds;24.5;5.5;18.8;147.6;https://tiktok.com/@toponlinefinds/video/6834331690282831110;04-06-2020T10:37:31
@anya.bumag_6901287257395842306;anya.bumag;39.6;4.3;9.3;61.4;https://tiktok.com/@anya.bumag/video/6901287257395842306;01-12-2020T20:59:16
@rachel_meaders_6915576626281565446;rachel_meaders;26.5;3.4;19.8;275.3;https://tiktok.com/@rachel_meaders/video/6915576626281565446;09-01-2021T09:09:32
@toponlinefinds_6863855219550309638;toponlinefinds;15.0;3.4;8.2;101.9;https://tiktok.com/@toponlinefinds/video/6863855219550309638;23-08-2020T00:03:55
